model,calib,estimator,est,se
logit,raw,IPW,-1.9122212703074482,5.905289167678855
logit,raw,IPW-N,-0.4191857601748197,5.436468033425711
logit,raw,AIPW,5.69107798766862,3.3196481428733033
logit,raw,AIPW-H,5.742100649979502,3.2722931099300565
logit,beta,IPW,7.530892268917483,1.5058758943195816
logit,beta,IPW-N,7.754237535385588,1.2641118250736672
logit,beta,AIPW,8.319106863676945,1.1728570188268792
logit,beta,AIPW-H,8.312236360863453,1.1104708099786516
rf,raw,IPW,8.116351369554303,1.3697558768330225
rf,raw,IPW-N,5.726877595959193,1.2928436132155694
rf,raw,AIPW,8.176477998578704,1.142737609997993
rf,raw,AIPW-H,8.329088260877958,1.11643681552922
rf,beta,IPW,10.249762640864253,1.1857322227547342
rf,beta,IPW-N,9.73443759130475,1.25509221591492
rf,beta,AIPW,8.256671191650298,1.051729378190949
rf,beta,AIPW-H,8.280455755654831,0.9937775639698471
boost,raw,IPW,8.370345666268355,1.7175296577331267
boost,raw,IPW-N,4.987770711917735,1.408193631614632
boost,raw,AIPW,8.307259553198476,1.4101111315715944
boost,raw,AIPW-H,8.49518179652791,1.2580134019252573
boost,beta,IPW,10.218349628337513,1.316328723887301
boost,beta,IPW-N,10.256142791259698,1.2213023678313908
boost,beta,AIPW,8.589567422791113,1.1341019515328559
boost,beta,AIPW-H,8.587525521719916,1.0936733081607644
