rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
1,logit,raw,IPW,48.70110962655446,0.23555318378260096,0.5751576444865097,5.363237518910742
1,logit,raw,IPW-N,1.9469721505030204,0.23555318378260096,0.5751576444865097,5.363237518910742
1,logit,raw,AIPW,-8.696368180887058,0.23555318378260096,0.5751576444865097,5.363237518910742
1,logit,raw,AIPW-N,3.6037644142419905,0.23555318378260096,0.5751576444865097,5.363237518910742
1,logit,platt,IPW,8.686256177912982,0.03980787201721044,0.5751576444865097,5.363237518910742
1,logit,platt,IPW-N,7.221024324901345,0.03980787201721044,0.5751576444865097,5.363237518910742
1,logit,platt,AIPW,5.524979315049546,0.03980787201721044,0.5751576444865097,5.363237518910742
1,logit,platt,AIPW-N,5.546223167071214,0.03980787201721044,0.5751576444865097,5.363237518910742
1,logit,beta,IPW,8.328937002026269,0.032843641517913316,0.5751576444865097,5.363237518910742
1,logit,beta,IPW-N,7.326309582980462,0.032843641517913316,0.5751576444865097,5.363237518910742
1,logit,beta,AIPW,5.572121211247121,0.032843641517913316,0.5751576444865097,5.363237518910742
1,logit,beta,AIPW-N,5.583736547717596,0.032843641517913316,0.5751576444865097,5.363237518910742
1,logit,iso,IPW,8.604086938673088,0.025755978517490247,0.5751576444865097,5.363237518910742
1,logit,iso,IPW-N,4.9034296080053466,0.025755978517490247,0.5751576444865097,5.363237518910742
1,logit,iso,AIPW,4.0413540487515025,0.025755978517490247,0.5751576444865097,5.363237518910742
1,logit,iso,AIPW-N,4.4817079214865565,0.025755978517490247,0.5751576444865097,5.363237518910742
1,rf,raw,IPW,5.565808013458386,0.048912500000000005,0.5751576444865097,5.363237518910742
1,rf,raw,IPW-N,6.515826677556598,0.048912500000000005,0.5751576444865097,5.363237518910742
1,rf,raw,AIPW,5.650478525849641,0.048912500000000005,0.5751576444865097,5.363237518910742
1,rf,raw,AIPW-N,5.61841208292833,0.048912500000000005,0.5751576444865097,5.363237518910742
1,rf,platt,IPW,6.932465285500685,0.028080069214496146,0.5751576444865097,5.363237518910742
1,rf,platt,IPW-N,4.786335585486366,0.028080069214496146,0.5751576444865097,5.363237518910742
1,rf,platt,AIPW,5.135872795937018,0.028080069214496146,0.5751576444865097,5.363237518910742
1,rf,platt,AIPW-N,5.203139992449616,0.028080069214496146,0.5751576444865097,5.363237518910742
1,rf,beta,IPW,6.073386034878775,0.02976549215238057,0.5751576444865097,5.363237518910742
1,rf,beta,IPW-N,4.73159528114463,0.02976549215238057,0.5751576444865097,5.363237518910742
1,rf,beta,AIPW,5.0867361410206176,0.02976549215238057,0.5751576444865097,5.363237518910742
1,rf,beta,AIPW-N,5.150082600921713,0.02976549215238057,0.5751576444865097,5.363237518910742
1,rf,iso,IPW,6.075106538798406,0.05621487177291995,0.5751576444865097,5.363237518910742
1,rf,iso,IPW-N,2.7186699740399156,0.05621487177291995,0.5751576444865097,5.363237518910742
1,rf,iso,AIPW,4.0675204070672075,0.05621487177291995,0.5751576444865097,5.363237518910742
